Date,Fecha,Dia,Temperatura (entrada),Temperatura (zona ampliación),Humedad (entrada),Humedad (zona ampliación),Year,Monitoreo
451,23-Sep-13,Lunes,23,NA,35,NA,2013,
452,24-Sep-13,Martes,23,NA,36,NA,2013,
453,25-Sep-13,Miércoles,23,NA,35,NA,2013,
454,26-Sep-13,Jueves,23,NA,35,NA,2013,
455,27-Sep-13,Viernes,23,NA,35,NA,2013,
456,30-Sep-13,Lunes,23,NA,34,NA,2013,
457,1-Oct-13,Martes,23,NA,34,NA,2013,
458,2-Oct-13,Miércoles,23,NA,34,NA,2013,
459,3-Oct-13,Jueves,21,NA,37,NA,2013,
460,4-Oct-13,Viernes,22,NA,44,NA,2013,
461,7-Oct-13,Lunes,21,NA,36,NA,2013,
462,8-Oct-13,Martes,21,NA,37,NA,2013,
463,9-Oct-13,Miércoles,21,NA,41,NA,2013,
464,10-Oct-13,Jueves,21,NA,41,NA,2013,
465,11-Oct-13,Viernes,21,NA,41,NA,2013,
466,14-Oct-13,Lunes,21,NA,37,NA,2013,
467,15-Oct-13,Martes,22,NA,40,NA,2013,
468,16-Oct-13,Miércoles,22,NA,40,NA,2013,
469,17-Oct-13,Jueves,22,NA,37,NA,2013,
470,18-Oct-13,Viernes,22,NA,35,NA,2013,
471,21-Oct-13,Lunes,22,NA,35,NA,2013,
472,22-Oct-13,Martes,22,NA,43,NA,2013,
473,23-Oct-13,Miércoles,22,NA,41,NA,2013,
474,24-Oct-13,Jueves,19,NA,39,NA,2013,
475,25-Oct-13,Viernes,22,NA,43,NA,2013,
476,28-Oct-13,Lunes,23,NA,43,NA,2013,
477,29-Oct-13,Martes,23,NA,43,NA,2013,
